features,feature_indices,is_nll_MW,is_r2_MW,oos_nll_MW,oos_r2_MW,is_nll_NGC300,is_r2_NGC300,oos_nll_NGC300,oos_r2_NGC300,is_nll_ETG-vlM,is_r2_ETG-vlM,oos_nll_ETG-vlM,oos_r2_ETG-vlM,is_nll_ETG-lowM,is_r2_ETG-lowM,oos_nll_ETG-lowM,oos_r2_ETG-lowM,is_nll_ETG-medM,is_r2_ETG-medM,oos_nll_ETG-medM,oos_r2_ETG-medM,is_nll_ETG-hiM,is_r2_ETG-hiM,oos_nll_ETG-hiM,oos_r2_ETG-hiM,is_nll_mean,is_r2_mean,oos_nll_mean,oos_r2_mean,nll_gap
gas,[0],1.3361072540283203,0.43784738088031083,1.7755552530288696,0.0736307550595966,1.2791450023651123,0.5057979437658018,1.8551359176635742,0.027317836736414303,1.3652124404907227,0.389675020913299,1.4558898210525513,0.3779353710330954,1.3734807968139648,0.36376856572288896,1.5414694547653198,0.262194889066087,1.387977123260498,0.3714711544096262,1.2739955186843872,0.5941426589688961,1.391021490097046,0.3604937076067751,1.368452787399292,0.3935273308487063,1.3554906845092773,0.4048422955497837,1.5450831254323323,0.28812480695213266,0.18959244092305494
gas+star,"[0, 1]",1.246326208114624,0.4813280643260558,1.7715288400650024,0.08006418049860009,1.2506794929504395,0.5328028816847696,1.9109396934509277,-0.01677436557882439,1.2799818515777588,0.4359424999067,1.4277867078781128,0.39604779253232625,1.271608591079712,0.4193288999314494,1.5109330415725708,0.25477864831569463,1.3323321342468262,0.4115200311972903,1.224406123161316,0.6723886568477493,1.2597495317459106,0.42308940986096566,1.9687747955322266,0.3834561570164561,1.273446301619212,0.45066863115120515,1.6357282002766926,0.29499351160533366,0.3622818986574807
gas+rotcurve,"[0, 2]",1.239195704460144,0.47833114756013084,2.0736732482910156,0.04437891286227147,1.2395145893096924,0.502248030461642,2.183375120162964,-0.30984974257046694,1.2775551080703735,0.428690840395193,1.5685805082321167,0.26832107992088317,1.3545712232589722,0.3890719327319201,1.5859769582748413,0.2415260866710729,1.425760269165039,0.3958137425855366,1.2299238443374634,0.420748149386898,1.3075761795043945,0.39434300910069864,1.5246957540512085,0.3920814357920749,1.307362178961436,0.4314164504725202,1.6943709055582683,0.17620098701045558,0.3870087265968323
gas+kappa,"[0, 3]",1.225183367729187,0.48678305222552387,1.7779382467269897,0.05729313541686143,1.1679407358169556,0.5456022887090299,1.6299238204956055,0.04911643210614591,1.2621290683746338,0.44406114453639833,1.4225550889968872,0.4204755013223004,1.3054090738296509,0.42975396489706064,1.584584355354309,0.2620200331953959,1.3358893394470215,0.4147452893086343,0.9403142929077148,0.7952016688383552,1.3306392431259155,0.41972769395578646,1.4131814241409302,0.4459670313639116,1.2711984713872273,0.4567789056054056,1.461416204770406,0.33834563370716175,0.1902177333831787
gas+dm,"[0, 4]",1.2981295585632324,0.483816458006449,1.9641767740249634,0.050315586033817916,1.2075542211532593,0.5431696216627191,1.7059406042099,0.04020434116066651,1.289763331413269,0.43642757689862055,1.417019248008728,0.4320722594580617,1.2867306470870972,0.4203462691683718,1.5068461894989014,0.28397192646627845,1.3356844186782837,0.4111214463211248,1.1417545080184937,0.7598777907586562,1.3891735076904297,0.38651590210039966,1.41375732421875,0.4452859063292103,1.3011726140975952,0.4468995456929476,1.5249157746632893,0.33528796836778185,0.2237431605656941
gas+kappa+dm,"[0, 3, 4]",1.2678788900375366,0.43575195002565037,2.016205072402954,-0.12450380800819971,1.2338330745697021,0.5400059484472527,1.7568109035491943,0.052193742699015666,1.2476917505264282,0.4483543577079956,1.4350295066833496,0.4171965755297461,1.2453092336654663,0.43039030017173185,1.5362886190414429,0.2702614305832207,1.3309173583984375,0.41765895997080493,0.9607700109481812,0.7381154855797221,1.3154295682907104,0.40008018724216377,1.390286922454834,0.4455713138197219,1.2735099792480469,0.4453736172609332,1.5158985058466594,0.29980579003387114,0.24238852659861254
