capacity,n_layers,n_hidden,n_components,nll_MW,r2_MW,nll_NGC300,r2_NGC300,nll_ETG-vlM,r2_ETG-vlM,nll_ETG-lowM,r2_ETG-lowM,nll_ETG-medM,r2_ETG-medM,nll_ETG-hiM,r2_ETG-hiM,nll_mean,r2_mean
3x128,3,128,8,1.7735234498977661,0.07526905529236982,1.8199526071548462,0.027060152511306668,1.461090087890625,0.3735761720906301,1.5683711767196655,0.2620800915553132,1.2678232192993164,0.5942842141357072,1.3670783042907715,0.39288814941384564,1.5429731408754985,0.28752630583319544
3x128,3,128,12,1.82634437084198,0.07434625360443092,1.8244773149490356,0.027592094160200364,1.4751850366592407,0.37311696528666183,1.5374526977539062,0.26141831030374496,1.2830249071121216,0.5965783581069104,1.3747798204421997,0.393150311636019,1.553544024626414,0.2877003821829946
3x128,3,128,16,1.7733657360076904,0.07443128911960606,1.8881233930587769,0.02805567971507794,1.45460045337677,0.37463910568635383,1.526219129562378,0.26193758786598254,1.2838560342788696,0.5984094413082813,1.3755011558532715,0.39200326843648936,1.5502776503562927,0.2882460620219652
5x128,5,128,3,2.7692928314208984,0.07457050015290634,1.8555182218551636,0.027447833985320247,1.605953574180603,0.3755716202689071,1.681695580482483,0.26162486858629763,1.2656623125076294,0.5934859478541956,1.5473641157150269,0.39264062887073947,1.7875811060269673,0.2875568999530611
5x128,5,128,5,1.8390605449676514,0.0736599578108228,3.2231109142303467,0.026198928349074224,1.4660662412643433,0.3747575528676764,2.5244741439819336,0.2623504148934269,1.2698519229888916,0.5932188247893452,1.3740618228912354,0.3936074573785361,1.9494375983874004,0.2872988560148136
5x128,5,128,8,1.7940059900283813,0.07402011187128044,1.8399066925048828,0.026071110838153055,1.4661647081375122,0.37502738185657813,1.5325055122375488,0.261966745965581,1.2697938680648804,0.591637333398429,1.3728916645050049,0.39351837758794683,1.5458780725797017,0.2870401769196614
5x128,5,128,12,1.7837265729904175,0.07356420249235662,1.8686896562576294,0.026225362148457942,1.445439100265503,0.3744196851454663,1.541411280632019,0.2623317196807634,1.2698543071746826,0.598732461965061,1.3578777313232422,0.3930787839665062,1.5444997747739155,0.28805870256643523
5x128,5,128,16,1.7834563255310059,0.07395129983412019,1.8389098644256592,0.026201091282768818,1.439390778541565,0.3739133523855368,1.5347808599472046,0.26227387841654093,1.2705243825912476,0.5993827411758356,1.377421259880066,0.3941821322893819,1.5407472451527913,0.28831741589736404
5x256,5,256,3,1.8780508041381836,0.0746170156656315,3.5007951259613037,0.028831364764155265,1.704551339149475,0.373548422707337,2.6052968502044678,0.2627409287584087,1.270351529121399,0.5936132942189261,1.4227267503738403,0.3918716465017825,2.0636287331581116,0.2875371121027068
5x256,5,256,5,1.8571652173995972,0.07385298617277702,1.9580737352371216,0.02763498316684443,1.6840918064117432,0.372676729653045,1.6100656986236572,0.26230652223513395,1.2735637426376343,0.6002574747318695,1.4178069829940796,0.3933475170892775,1.6334611972173054,0.2883460355081579
5x256,5,256,8,1.8363335132598877,0.07447352157750253,1.8615710735321045,0.026228267261455773,1.479283332824707,0.37457239865609215,1.5854896306991577,0.2623967685662083,nan,nan,1.393710970878601,0.3926883775874377,1.6312777042388915,0.2260718667297393
5x256,5,256,12,1.8421226739883423,0.07465833705401215,nan,nan,nan,nan,nan,nan,1.2704581022262573,0.5923877111367293,1.4069315195083618,0.3925256748658591,1.5065040985743205,0.35319057435220014
5x256,5,256,16,1.806153655052185,0.07489333256827713,1.8588364124298096,0.026833108146473772,1.4589104652404785,0.37311728180073733,1.5739458799362183,0.26275731226674726,nan,nan,1.3793494701385498,0.3935527010454515,1.6154391765594482,0.22623074716553743
